agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;langue;region;province;region_hospitalier;type_hopital;statut;a;a_j;a_n;b;c;cd;d;e;g;ib_ptca_plus18;k;k_j;k_n;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;nombre_de_lits_par_site;nombre_de_lits_d_hopitaux;remarques_1;imagerie_medicale_imagerie_medicale_avec_scanner;imagerie_medicale_resonance_magnetique_nucleaire_rmn;imagerie_medicale_scanner-pet;radiotherapie;centre_de_dialyse;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;programme_de_soins_pathologie_cardiaque;programme_de_soins_pathologie_cardiaque.1;programme_de_soins_pathologie_cardiaque.2;programme_de_soins_pathologie_cardiaque.3;programme_de_soins_pathologie_cardiaque.4;programme_de_soins_pathologie_cardiaque.5;programme_de_soins_pathologie_cardiaque.6;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_de_base_soins_de_l_avc_aigu;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives;programme_de_soins_medecine_de_la_reproduction;programme_de_soins_medecine_de_la_reproduction.1;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_de_base_en_oncologie;programme_de_soins_d_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_specialise_en_hemato-oncologie_pediatrique;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;association_programme_de_soins_pour_le_patient_gériatrique;officine_hospitaliere;officine_hospitaliere.1;soins_intensifs;coordination_locale_des_donateurs;banque_de_sang_hospitaliere;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;premiere_prise_en_charge_des_urgences;soins_urgents_specialises;smur;association_concernant_smur;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;maladies_rares;fonction_de_mediateur;centre_d_expertise_pour_les_patients_comateux;centre_d_expertise_pour_les_patients_comateux.1
004;SP;2950;CENTRE HOSPITALIER REINE ASTRID;;RUE DEVANT LES RELIGIEUSES 2;4960;MALMEDY;080/79.31.11;www.chram.be;F;W;Liège;Verviers;Hôpital général;Public;;;;;58;6;33;15;24;;;;;;15;;;;;;;;;;;;;;151;;Les services pédiatrie (E), maternité (M) et fonction hospitalière N* sont exploités en association avec CHR Citadelle à Liège (A/412);X;;;;;Association avec CHU de Liège (A/707);;;X;;;;;X;;;;;;;;X;;;;;X;;;;;;;X;;X;X;X;X (Association avec CHR Citadelle à Liège A/412);;;;X;;;X;;;;;;
006;SP;3300;CENTRE HOSPITALIER REGIONAL DE NAMUR;;AVENUE ALBERT 1IER 185;5000;NAMUR;081/72.61.11;www.chrn.be;F;W;Namur;Namur - Dinant;Hôpital général;Public;30;;;;96;24;96;20;60;;;;;;32;15;;24;;;;;;;;;;;397;;;X;X (1);X (1);;X;Association avec CHU de Liège (A/707);;;X;X;;;X;X;;Association programme B3 avec Clinique St. Luc, Bouge (A/706);;;;X;;;X;;X;;X;X;;;;;;X;;X;X;X;X;X;;;X;X;;X;X;;;;;
007;SP;2790;CENTRE HOSPITALIER REGIONAL HAUTE SENNE;LE TILLERIAU;CHAUSSEE DE BRAINE 47;7060;SOIGNIES;067/34.84.11;www.chrhautesenne.be;F;W;Hainaut;Ath - Soignies;Hôpital général;Public;;;;;50;10;59;15;48;;;;;;18;;;;;;;;;;;;;;200;246;;X;;;;;;;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec Hôpital Erasme Bruxelles (A/406);;;;;;X;;;X;;X;X;;;;;;X;;X;;X;X;;;;X;X;;X;X;X;;;;
007;SS;2780;CENTRE HOSPITALIER REGIONAL HAUTE SENNE;SAINT-VINCENT;BOULEVARD ROOSEVELT 17;7060;SOIGNIES;067/34.84.11;;F;W;Hainaut;Ath - Soignies;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
007;SS;2490;CENTRE HOSPITALIER REGIONAL HAUTE SENNE;LE GOELAND;GRAND CHEMIN 61;7063;NEUFVILLES;067/28.31.11;;F;W;Hainaut;Ath - Soignies;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
009;SP;1200;ZIEKENHUISNETWERK ANTWERPEN;ZNA SINT-ELISABETH;LEOPOLDSTRAAT 26;2000;ANTWERPEN-1;03/234.41.11;www.zna.be;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;Privaat;;;;;;;;;89;;;;;;;;;88;;;;27;;;;;;;204;1920;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;X;X;X;;X;;;;;;;;;;;;X;X;X;;;;
009;SS;1180;ZIEKENHUISNETWERK ANTWERPEN;ZNA STUIVENBERG;LANGE BEELDEKENSSTRAAT 267;2060;ANTWERPEN-6;03/217.71.11;;N;V;Antwerpen;Antwerpen;;;;;;;94;;113;;53;;;;;;;;;25;;;;;;;;;;;285;;;X;X (1);;;X;;;X;X;;;;;X;;;;;;;;;X;;;;;X;X;X;;;;;;X;X;X;;;;;X;X;Alternerende werking met GZA- Ziekenhuizen, Campus Sint-Vincentius Antwerpen (E. 099) en AZ Monica, Campus Deurne (E. 682) ;;X;X;;;;
009;SS;2000;ZIEKENHUISNETWERK ANTWERPEN;ZNA MIDDELHEIM/KONINGIN PAOLA KINDERZIEKENHUIS;LINDENDREEF 1;2020;ANTWERPEN;03/280.31.11;;N;V;Antwerpen;Antwerpen;;;;;;;191;;229;75;72;;61;31;;;36;15;;26;;;;;;;;;;;736;;;X;X (2);;X (Iridium Kankernetwerk Antwerpen);X;;;;X;X;;;X;X;;;;;;X;;;X;X;;;X;X;X;X;;;;;;X;X;X;X;X;;;X;X;Alternerende werking met GZA- Ziekenhuizen, Campus Sint-Augustinus Wilrijk (E. 099);;X;X;;;;
009;SS;2010;ZIEKENHUISNETWERK ANTWERPEN;ZNA HOGE BEUKEN;COMMANDANT WEYNSSTRAAT 165;2660;HOBOKEN;03/830.90.90;;N;V;Antwerpen;Antwerpen;;;;;;;;;;;78;;24;8;;;;;;26;60;;;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;X;;;;;
009;SS;2240;ZIEKENHUISNETWERK ANTWERPEN;ZNA JOOSTENS;KAPELLEI 133;2980;ZOERSEL;03/384.56.06;;N;V;Antwerpen;Voorkempen;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
