agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;region;langue;province;reseau_hospitalier;type_hopital;statut;a;a_j;a_n;b;c;cd;d;e;g;ib_ptca_plus18;k;k_j;k_n;l;m;nic;s1;s2;s3;s4;s5;s6;t;t_j;t_n;tfb;tfp;tg;nombre_total_de_lits_et_ou_de_places_par_site;nombre_total_de_lits_et_ou_places_par_l_hopital;remarques;imagerie_medicale_imagerie_medicale_avec_scanner;imagerie_medicale_resonance_magnetique_nucleaire_rmn;imagerie_medicale_scanner-pet;radiotherapie;centre_de_dialyse;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;programme_de_soins_pathologie_cardiaque;programme_de_soins_pathologie_cardiaque.1;programme_de_soins_pathologie_cardiaque.2;programme_de_soins_pathologie_cardiaque.3;programme_de_soins_pathologie_cardiaque.4;programme_de_soins_pathologie_cardiaque.5;programme_de_soins_pathologie_cardiaque.6;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_de_base_soins_de_l_avc_aigu_s1;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives_s2;programme_de_soins_medecine_de_la_reproduction;programme_de_soins_medecine_de_la_reproduction.1;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_de_base_en_oncologie;programme_de_soins_d_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_specialise_en_hemato-oncologie_pediatrique;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;association_programme_de_soins_pour_le_patient_gériatrique;officine_hospitaliere;officine_hospitaliere.1;soins_intensifs;coordination_locale_des_donateurs;banque_de_sang_hospitaliere;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;premiere_prise_en_charge_des_urgences;soins_urgents_specialises;smur;association_concernant_smur;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;maladies_rares;fonction_de_mediation;centre_d_expertise_pour_les_patients_comateux;centre_d_expertise_pour_les_patients_comateux.1
004;SP;2950;CENTRE HOSPITALIER REINE ASTRID;;RUE DEVANT LES RELIGIEUSES 2;4960;MALMEDY;080/79.31.11;www.chram.be;W;F;Liège;;Hôpital général;Public;;;;;58;6;33;15;24;;;;;;15;;;;;;;;;;;;;;151;;Les services pédiatrie (E) et maternité (M) être exploités en association avec CHR Citadelle à Liège (A/412);X;;;;;Association avec CHU de Liège (A/707);;;X;;;;;X;;;;;;;;X;;;;;X (Association avec CHR Citadelle à Liège A/412);X;;;;;;X;;X;X;X;X (Association avec CHR Citadelle à Liège A/412);;;;X;;;X;;;;;;
006;SP;3300;CHR SAMBRE ET MEUSE;MEUSE (CHR NAMUR);AVENUE ALBERT 1IER 185;5000;NAMUR;081/72.61.11;www.chrn.be/www.chrsm.be;W;F;Namur;;Hôpital général;Public;30;;;;96;24;96;20;60;;;;;;32;15;;24;;;;;;;;;;;397;;;X;X (1);X (1);;X;Association avec CHU de Liège (A/707);;;X;X;;;X;X;;Association programme B3 avec Clinique St. Luc, Bouge (A/706);;;;X;;;X;;X;;X;X;;;;;;X;;X;X;X;X;X;;;X;X;;X;X;;;;;
007;SP;2790;CENTRE HOSPITALIER REGIONAL HAUTE SENNE;LE TILLERIAU;CHAUSSEE DE BRAINE 49;7060;SOIGNIES;067/34.84.11;www.chrhautesenne.be;W;F;Hainaut;Réseau PHARE;Hôpital général;Public;;;;;50;10;59;15;48;;;;;;18;;;;;;;;;;;;;;200;246;;X;;;;;;;;X;;X;;;X;;Les programmes partiels B1-B2 est utilisé en association avec Hôpital Erasme Bruxelles (A/406) et CHU Tivoli La Louvière (A/096);;;;;;X;;;X;;X;X;;;;;;X;;X;;X;X;;;;X;X;;X;X;X;;;;
007;SS;2780;CENTRE HOSPITALIER REGIONAL HAUTE SENNE;SAINT-VINCENT;BOULEVARD ROOSEVELT 17;7060;SOIGNIES;067/34.84.11;;W;;Hainaut;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
007;SS;2490;CENTRE HOSPITALIER REGIONAL HAUTE SENNE;LE GOELAND;GRAND CHEMIN 61;7063;NEUFVILLES;067/28.31.11;;W;;Hainaut;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
009;SP;2000;ZIEKENHUISNETWERK ANTWERPEN;ZNA MIDDELHEIM/KONINGIN PAOLA KINDERZIEKENHUIS;LINDENDREEF 1;2020;ANTWERPEN;03/280.31.11;www.zna.be;V;N;Antwerpen;Netwerk GZA - ZNA Vzw;Algemeen ziekenhuis met universitair karakter;Privaat;;;;;191;;229;75;72;;61;37;;;36;15;;26;;;;;;;;;;;742;1899;;X;X (2);;X (Iridium netwerk Antwerpen);X;;;;X;X;;;X;X;;;;;;X;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;X;;;X;X;Alternerende werking met GZA- Ziekenhuizen, Campus Sint-Augustinus Wilrijk (E. 099);X;X;X;;;;2021-07-07 00:00:00
009;SS;1200;ZIEKENHUISNETWERK ANTWERPEN;ZNA SINT-ELISABETH;LEOPOLDSTRAAT 26;2000;ANTWERPEN-1;03/234.41.11;;V;;Antwerpen;;;;;;;;;;;;89;;;;;;;;;88;;;;27;;;;;;;204;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;X;;;;;;;;;;;;;;;;;X;X;;;;
009;SS;1180;ZIEKENHUISNETWERK ANTWERPEN;ZNA STUIVENBERG;LANGE BEELDEKENSSTRAAT 267;2060;ANTWERPEN-6;03/217.71.11;;V;;Antwerpen;;;;;;;;80;;100;;53;;;;;;;;;25;;;;;;;;;;;258;;;X;X (1);;;X;;;X;X;;;;;X;;;;;;;;;X;;;;;X;X;X;;;;;;X;X;X;;;;;X;X;Alternerende werking met GZA- Ziekenhuizen, Campus Sint-Vincentius Antwerpen (E. 099) en AZ Monica, Campus Deurne (E. 682) ;;X;X;;;;2021-07-07 00:00:00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
009;SS;2010;ZIEKENHUISNETWERK ANTWERPEN;ZNA HOGE BEUKEN;COMMANDANT WEYNSSTRAAT 165;2660;HOBOKEN;03/830.90.90;;V;;Antwerpen;;;;;;;;;;;;78;;24;8;;;;;;26;60;;;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;X;;;;;
009;SS;2240;ZIEKENHUISNETWERK ANTWERPEN;ZNA JOOSTENS;KAPELLEI 133;2980;ZOERSEL;03/384.56.06;;V;;Antwerpen;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
009;SS;1190;ZIEKENHUISNETWERK ANTWERPEN;ZNA SINT-ERASMUS;LUITENANT LIPPENSLAAN 55;2140;BORGERHOUT;03/270.80.11;;V;;Antwerpen;;;;60;;;;8;;7;;;;;;;;;;;;;12;;;;;;;;;87;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;X;X;;;;
009;SS;3360;ZIEKENHUISNETWERK ANTWERPEN;ZNA JAN PALFIJN;LANGE BREMSTRAAT 70;2170;MERKSEM;03/640.21.11;;V;;Antwerpen;;;;;;;;120;;90;22;72;;;;;;24;;;;;;;24;;;;;;;352;;;X;;X (1) (Associatie DA VINCI PET/CT-Centrum);X (Iridium netwerk Antwerpen);;;;;X;;;;;X;;;;;;;;;X;;X;;X;X;X;X;;;;;;X;X;X;X;;;;X;X;Alternerende werking met AZ Klina Brasschaat (E. 710);;X;X;;;;
010;SP;3100;GRAND HOPITAL DE CHARLEROI;NOTRE-DAME;GRAND'RUE 3;6000;CHARLEROI;071/10.21.11;www.ghdc.be;W;F;Hainaut;;Hôpital général;Privé;30;;;;156;27;93;39;;;;;;;69;18;;;;;;;;;;;;;432;1118;;X;X (2) ;X (1) Association Interhospitalière Région Charleroi, Centre Lucien Raynal, Ch. Imperiale 93, 6060 Gilly);;;Association avec Cliniques Universitaires Saint-Luc à Bruxelles (A/403) et Hôpital Erasme à Bruxelles (A/406);;;X;;;;;X;;;;;;X;;;X;X;;;X;;;;;;;X;;X;X;X;X;X;;;X;X;;X;X;X;X;;;
010;SS;3170;GRAND HOPITAL DE CHARLEROI;SAINT-JOSEPH;RUE MARGUERITE DEPASSE 6;6060;GILLY;071/10.21.11;;W;;Hainaut;;;;;;;;70;21;206;;;;;;;;;;;;;;;;;;;;;;297;;;X;X (1);;X ;X;;;;X;X;;;X;X;;;;;;;;X;;;;;;;;;;;;;;X;X;X;;;;;X;;;;X;X;;;;
