erk;campus_type;vestigingsnr;ziekenhuis;campus;adres;post;gemeente;telefoon;website;taal;gewest;provincie;ziekenhuisregio;soort_ziekenhuis;statuut;a;a1;a2;c;cd;d;e;g;ib_sga_volw;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;totaal_bedden;fusie-capaciteit;opmerkingen;ziekenhuisapotheek;medische_beeldvorming_met_scanner;magnetische_resonantie_tomograaf_nmr;pet_scanner;radiotherapie;dialysecentrum;zorgprogramma_cardiale_pathologie;zorgprogramma_reproductieve_geneeskunde_type_a-b;zorgprogramma_oncologie;zorgprogramma_oncologische_basiszorg;gespecialiseerd_oncologisch_zorgpr_voor_borstkanker;zorgprogramma_voor_kinderen;zorgprogramma_voor_de_geriatrische_patient_dienst_voor_geriatrie;zorgprogramma_voor_de_geriatrische_patient_geriatrisch_consult;zorgprogramma_voor_de_geriatrische_patient_dagziekenhuis_voor_de_geriatrische_patiënt;zorgprogramma_voor_de_geriatrische_patient_interne_liaison;zorgprogramma_voor_de_geriatrische_patient_externe_liaison;intensieve_zorg;lokale_neonatale_zorgen_nx;regionale_perinatale_zorg_px;pediatrische_liaison;spoedgevallen;mug;ziekenhuisbloedbank;palliatieve_zorg;chirurgische_daghospitalisatie;niet_chirurgische_daghospitalisatie;lokale_donorcoordinatie;ombudsfunctie;transplantatiecentrum;centrum_voor_menselijke_erfelijkheid;centrum_voor_zware_brandwonden;expertisecentrum_voor_comapatienten;mucoviscidosecentrum;dienst_anatomopathologie
002;SP;1100;STEDELIJK ZIEKENHUIS;ROESELARE;BRUGSESTEENWEG 90;8800;ROESELARE;051/23.61.11;www.szr.be;N;V;West-Vlaanderen;Roeselare;Algemeen ziekenhuis;Openbaar;30;;;95;;77;21;24;;;;;;23;;;;;;60;;;;;;;;330;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) ;;;;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;Associatie met H. Hartziekenhuis Roeselare - Menen, Wilgenstraat 2 te 8800 Roeselare;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) met het Heilig Hart Ziekenhuis (campus Wilgenstraat) - Roeselare;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
004;SP;2950;CLINIQUE REINE ASTRID;;RUE DEVANT LES RELIGIEUSES 2;4960;MALMEDY;080/79.31.11;;F;W;Liège;Verviers;Hôpital général;Public;;;;59;4;34;15;24;;;;;;15;;;;;;;;;;;;;;151;;Association en ce qui concerne l'exploitation des services de pédiatrie et de la maternité avec C.H.R. de la Citadelle à Liège;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux (Association en ce qui concerne l'exploitation de la fonction soins néonatals locaux (N*) avec C.H.R. de la Citadelle à Liège);;;Soins Urgents Spécialisés;;Banque de sang hospitalière;Soins Palliatifs;;;;;;;;;;
006;SP;3300;CENTRE HOSPITALIER REGIONAL;;AVENUE ALBERT 1IER 185;5000;NAMUR;081/72.61.11;www.chrn.be;F;W;Namur;Namur - Dinant;Hôpital général;Public;30;;;99;24;100;27;60;;;;;;40;15;;24;;;;;;;;;;;419;;;Officine Hospitaliere;Imagerie médicale avec scanner;Imagerie médicale tomographe à resonance magnetique (RMN);;;Centre de dialyse;Programme de soins pathologie cardiaque A, B, E et P ;Programme de soins médecine de la reproduction B;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;Soins Périnatals Régionaux;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
007;SP;2780;CENTRE HOSPITALIER DE LA HAUTE SENNE;SAINT-VINCENT;BOULEVARD ROOSEVELT 17;7060;SOIGNIES;067/34.84.11;www.chrhautesenne.be;F;W;Hainaut;Ath - Soignies;Hôpital général;Public;;;;;;;;;;;;;;;;;;;;40;;;;;;;;40;240;;;;;;;;;;;Programme de soins de base en oncologie;;Programme de soins pour enfants;;;;;;;;;;;;;;;;;;;;;;;
007;SS;2790;CENTRE HOSPITALIER DE LA HAUTE SENNE;LE TILLERIAU;CHAUSSEE DE BRAINE 47;7060;SOIGNIES;067/34.84.11;;F;W;Hainaut;Ath - Soignies;Hôpital général;;;;;50;10;73;15;34;;;;;;18;;;;;;;;;;;;;;200;;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;;service de gériatrique;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
008;SP;3060;CENTRE HOSPITALIER EPICURA;BAUDOUR;RUE LOUIS CATY 136;7331;BAUDOUR;065/76.81.11;www.epicura.be;F;W;Hainaut;Mons;Hôpital général;Privé;;;;61;39;60;15;27;;;;;;22;;;24;;;;;;;;;;;248;;;Officine Hospitaliere;Imagerie médicale avec scanner;;;Radiothérapie;Centre de dialyse;Programme de soins pathologie cardiaque A, B1, E en P (B1 = collaboration avec Clin.Univ. de Bruxelles - Hôpital Erasme - Bruxelles);;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec C.H.R. St. Joseph - Hôpital de Warquignies (site Boussu) et C.H. Hornu - Frameries (site Hornu);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation chirurgicale de jour;;;;;;;;;
009;SP;1180;ZIEKENHUISNETWERK ANTWERPEN;ZNA STUIVENBERG;LANGE BEELDEKENSSTRAAT 267;2060;ANTWERPEN-6;03/217.71.11;www.zna.be;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;Openbaar;;;;145;;163;;53;;;;;;;;;25;;;;;;;;;;;386;2101;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;Dialysecentrum;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;;;dienst voor geriatrie;;;;externe liaison;Intensieve Zorgen;;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de Functie Mobiele Urgentiegroep (MUG) via alternerende werking met St. Vincentiusziekenhuis - Antwerpen en Monica Vzw (campus Deurne) - Antwerpen ;Ziekenhuisbloedbank;Palliatieve zorgen;;;Lokale donorcoördinatie;;;;Brandwondencentrum;;;
009;SS;2000;ZIEKENHUISNETWERK ANTWERPEN;ZNA MIDDELHEIM/KONINGIN PAOLA KINDERZIEKENHUIS;LINDENDREEF 1;2020;ANTWERPEN;03/280.31.11;;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;;;;;191;;229;75;48;;61;23;;;36;15;;26;;;;;;;;;;;704;;;;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR) (2 toestellen);Pet- scanner;Radiotherapie ;Dialysecentrum;Zorgprogramma cardiale pathologie A, B, E en P;Zorgprogramma reproductieve geneeskunde B;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;;;;;Intensieve Zorgen;Lokale neonatale zorgen;Regionale Perinatale zorgen;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met A.Z. St. Augustinus te Antwerpen (Wilrijk);Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;;Lokale donorcoördinatie;;;;;;;
009;SS;2010;ZIEKENHUISNETWERK ANTWERPEN;ZNA HOGE BEUKEN;COMMANDANT WEYNSSTRAAT 165;2660;HOBOKEN;03/830.90.90;;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;;;;;;;;;78;;24;8;;;;;;26;60;;;;;;;;;;196;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;Chirurgische Daghospitalisatie;;;;;;;;;
009;SS;2240;ZIEKENHUISNETWERK ANTWERPEN;ZNA JOOSTENS;KAPELLEI 133;2980;ZOERSEL;03/384.56.11;;N;V;Antwerpen;Voorkempen;Algemeen ziekenhuis met universitair karakter;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
